[msg] WM_MOUSEMOVE client=(1173,605)
[trace] mouse=(492,169) valid=1 click=0 release=0 down=0
[trace] mouse=(492,169) valid=1 click=0 release=0 down=0
[trace] mouse=(492,169) valid=1 click=0 release=0 down=0
[trace] mouse=(492,169) valid=1 click=0 release=0 down=0
[trace] mouse=(492,169) valid=1 click=0 release=0 down=0
[trace] mouse=(492,169) valid=1 click=0 release=0 down=0
[trace] mouse=(492,169) valid=1 click=0 release=0 down=0
[trace] mouse=(492,169) valid=1 click=0 release=0 down=0
[trace] mouse=(492,169) valid=1 click=0 release=0 down=0
[trace] mouse=(492,169) valid=1 click=0 release=0 down=0
[msg] WM_MOUSEMOVE client=(491,169)
[trace] mouse=(491,169) valid=1 click=0 release=0 down=0
[msg] WM_MOUSEMOVE client=(489,170)
[trace] mouse=(489,170) valid=1 click=0 release=0 down=0
[msg] WM_MOUSEMOVE client=(488,170)
[trace] mouse=(488,170) valid=1 click=0 release=0 down=0
[msg] WM_MOUSEMOVE client=(487,170)
[trace] mouse=(487,170) valid=1 click=0 release=0 down=0
[msg] WM_MOUSEMOVE client=(486,170)
[trace] mouse=(486,170) valid=1 click=0 release=0 down=0
[trace] mouse=(486,170) valid=1 click=0 release=0 down=0
[trace] mouse=(486,170) valid=1 click=0 release=0 down=0
[trace] mouse=(486,170) valid=1 click=0 release=0 down=0
[trace] mouse=(486,170) valid=1 click=0 release=0 down=0
[trace] mouse=(486,170) valid=1 click=0 release=0 down=0
[trace] mouse=(486,170) valid=1 click=0 release=0 down=0
[trace] mouse=(486,170) valid=1 click=0 release=0 down=0
[trace] mouse=(486,170) valid=1 click=0 release=0 down=0
[trace] mouse=(486,170) valid=1 click=0 release=0 down=0
[trace] mouse=(486,170) valid=1 click=0 release=0 down=0
[trace] mouse=(486,170) valid=1 click=0 release=0 down=0
[trace] mouse=(486,170) valid=1 click=0 release=0 down=0
[trace] mouse=(486,170) valid=1 click=0 release=0 down=0
[trace] mouse=(486,170) valid=1 click=0 release=0 down=0
[trace] mouse=(486,170) valid=1 click=0 release=0 down=0
[trace] mouse=(486,170) valid=1 click=0 release=0 down=0
[trace] mouse=(486,170) valid=1 click=0 release=0 down=0
[trace] mouse=(486,170) valid=1 click=0 release=0 down=0
[trace] mouse=(486,170) valid=1 click=0 release=0 down=0
[trace] mouse=(486,170) valid=1 click=0 release=0 down=0
[trace] mouse=(486,170) valid=1 click=0 release=0 down=0
[trace] mouse=(486,170) valid=1 click=0 release=0 down=0
[trace] mouse=(486,170) valid=1 click=0 release=0 down=0
[trace] mouse=(486,170) valid=1 click=0 release=0 down=0
[msg] WM_MOUSEMOVE client=(624,301)
[trace] mouse=(624,301) valid=1 click=0 release=0 down=0
[trace] mouse=(624,301) valid=1 click=0 release=0 down=0
[trace] mouse=(624,301) valid=1 click=0 release=0 down=0
[trace] mouse=(624,301) valid=1 click=0 release=0 down=0
[trace] mouse=(624,301) valid=1 click=0 release=0 down=0
[trace] mouse=(624,301) valid=1 click=0 release=0 down=0
[trace] mouse=(624,301) valid=1 click=0 release=0 down=0
[trace] mouse=(624,301) valid=1 click=0 release=0 down=0
[trace] mouse=(624,301) valid=1 click=0 release=0 down=0
[trace] mouse=(624,301) valid=1 click=0 release=0 down=0
[trace] mouse=(624,301) valid=1 click=0 release=0 down=0
[trace] mouse=(624,301) valid=1 click=0 release=0 down=0
[trace] mouse=(624,301) valid=1 click=0 release=0 down=0
[trace] mouse=(624,301) valid=1 click=0 release=0 down=0
[trace] mouse=(624,301) valid=1 click=0 release=0 down=0
[trace] mouse=(624,301) valid=1 click=0 release=0 down=0
[trace] mouse=(624,301) valid=1 click=0 release=0 down=0
[trace] mouse=(624,301) valid=1 click=0 release=0 down=0
[trace] mouse=(624,301) valid=1 click=0 release=0 down=0
[trace] mouse=(624,301) valid=1 click=0 release=0 down=0
[trace] mouse=(624,301) valid=1 click=0 release=0 down=0
[trace] mouse=(624,301) valid=1 click=0 release=0 down=0
[trace] mouse=(624,301) valid=1 click=0 release=0 down=0
[trace] mouse=(624,301) valid=1 click=0 release=0 down=0
[trace] mouse=(624,301) valid=1 click=0 release=0 down=0
[trace] mouse=(624,301) valid=1 click=0 release=0 down=0
[trace] mouse=(624,301) valid=1 click=0 release=0 down=0
[trace] mouse=(624,301) valid=1 click=0 release=0 down=0
[trace] mouse=(624,301) valid=1 click=0 release=0 down=0
[trace] mouse=(624,301) valid=1 click=0 release=0 down=0
